value_ozone,value_co,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Air Temp (F),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),season,AQI
0.030801749,0.5234375,0.215,0.0,662.5,17.4,67.475,76.25,59.525,3.4,81.5,73.175,2,29.0
0.033195906,0.6315625,0.2025,0.0,620.0,18.3,67.95,78.75,60.95,3.45,83.225,73.375,2,31.0
0.034507289,0.581761006,0.175,0.0,551.75,18.75,68.625,79.25,61.65,3.225,77.5,73.825,2,32.0
0.032828746,0.541776316,0.2,0.0,609.0,18.675,68.375,79.25,61.55,3.55,84.6,73.725,2,30.0
0.026705357,0.468253968,0.17,0.0,530.0,19.075,67.625,83.0,62.125,3.7,88.9,73.8,2,25.0
0.036970845,0.4671875,0.1825,0.0,563.0,18.3,67.425,80.25,60.925,3.65,87.6,73.925,2,34.0
0.038157434,0.5075,0.2075,0.0,626.75,17.55,67.875,76.0,59.675,3.1,74.35,73.625,2,35.0
0.02592515,0.656270096,0.205,0.0,609.75,17.25,68.3,74.0,59.225,3.325,80.425,73.375,2,24.0
0.020813456,0.681967213,0.215,0.0,636.75,16.475,67.825,71.75,57.975,3.45,82.75,73.075,2,19.0
0.027225705,0.646308725,0.22,0.0,654.0,16.275,68.2,69.75,57.6,3.325,79.4,73.025,2,25.0
0.032588424,0.792013889,0.23,0.0,647.5,15.675,69.8,64.5,56.45,3.075,73.5,72.825,2,30.0
0.040928349,0.862416107,0.2125,0.0,603.5,17.825,71.35,69.75,60.15,3.05,73.575,73.475,2,38.0
0.046448598,0.703691275,0.215,0.0,606.25,18.875,71.65,72.5,61.825,3.425,82.175,73.85,2,43.0
0.032850467,0.672147651,0.205,0.0,597.25,19.075,71.15,73.5,62.075,3.4,81.225,74.275,2,30.0
0.031209375,0.677738516,0.2,0.0,600.5,19.15,69.875,77.25,62.275,3.425,82.5,74.525,2,29.0
0.0358625,0.666269841,0.19,0.0,564.25,18.725,68.325,79.75,61.575,3.4,82.0,74.325,2,33.0
0.035034591,0.642205323,0.1675,0.0,519.75,19.0,67.8,82.5,62.05,3.35,80.075,73.925,2,32.0
0.038403125,0.614814815,0.1375,0.0,434.5,19.075,67.575,83.0,62.125,3.35,80.2,73.325,2,36.0
0.049068536,0.593624161,0.1125,0.0,380.75,19.45,67.35,85.25,62.725,3.35,80.3,72.95,2,45.0
0.049962617,0.52147651,0.075,0.0,285.25,19.45,66.675,87.25,62.675,3.4,81.725,72.4,2,46.0
0.041902821,0.503020134,0.1025,0.0,363.75,19.35,67.125,85.5,62.525,3.575,85.875,72.425,2,39.0
0.039025397,0.553691275,0.075,0.0,274.75,18.775,66.275,85.25,61.65,2.9,69.3,72.05,2,36.0
0.0358223,0.587162162,0.125,0.0,408.5,17.6,65.525,82.0,59.8,2.925,70.625,71.425,2,33.0
0.036040956,0.59295302,0.175,0.0,536.75,17.0,66.975,75.5,58.85,3.15,75.675,71.65,2,33.0
0.032589831,0.79295302,0.195,0.0,593.75,16.15,66.675,72.25,57.375,2.975,71.3,71.25,2,30.0
0.032916107,0.767785235,0.205,0.0,606.25,15.05,67.675,66.0,55.375,2.95,70.6,70.825,2,30.0
